Algorithm,Iteration,Code Tested,Coverage,Execution Time
pymoo.algorithms.soo.nonconvex.pattern,1,TRPG_character_create_character.py,50.0%,2.628624200820923
pymoo.algorithms.soo.nonconvex.pattern,2,TRPG_character_create_character.py,50.0%,2.234585762023926
pymoo.algorithms.soo.nonconvex.pattern,3,TRPG_character_create_character.py,50.0%,2.358830690383911
pymoo.algorithms.soo.nonconvex.pattern,4,TRPG_character_create_character.py,50.0%,2.294851064682007
pymoo.algorithms.soo.nonconvex.pattern,5,TRPG_character_create_character.py,50.0%,2.36091685295105
pymoo.algorithms.soo.nonconvex.pattern,6,TRPG_character_create_character.py,50.0%,2.6138839721679688
pymoo.algorithms.soo.nonconvex.pattern,7,TRPG_character_create_character.py,50.0%,2.619981050491333
pymoo.algorithms.soo.nonconvex.pattern,8,TRPG_character_create_character.py,50.0%,2.2438230514526367
pymoo.algorithms.soo.nonconvex.pattern,9,TRPG_character_create_character.py,50.0%,2.288062810897827
pymoo.algorithms.soo.nonconvex.pattern,10,TRPG_character_create_character.py,50.0%,2.693169116973877
pymoo.algorithms.soo.nonconvex.pattern,11,TRPG_character_create_character.py,50.0%,2.513524055480957
pymoo.algorithms.soo.nonconvex.pattern,12,TRPG_character_create_character.py,50.0%,2.3979909420013428
pymoo.algorithms.soo.nonconvex.pattern,13,TRPG_character_create_character.py,50.0%,2.6169159412384033
pymoo.algorithms.soo.nonconvex.pattern,14,TRPG_character_create_character.py,50.0%,2.946768045425415
pymoo.algorithms.soo.nonconvex.pattern,15,TRPG_character_create_character.py,50.0%,2.2324411869049072
pymoo.algorithms.soo.nonconvex.pattern,16,TRPG_character_create_character.py,50.0%,2.7043750286102295
pymoo.algorithms.soo.nonconvex.pattern,17,TRPG_character_create_character.py,50.0%,2.4850471019744873
pymoo.algorithms.soo.nonconvex.pattern,18,TRPG_character_create_character.py,50.0%,2.907042980194092
pymoo.algorithms.soo.nonconvex.pattern,19,TRPG_character_create_character.py,50.0%,2.3060219287872314
pymoo.algorithms.soo.nonconvex.pattern,20,TRPG_character_create_character.py,50.0%,2.5581347942352295
pymoo.algorithms.soo.nonconvex.pattern,21,TRPG_character_create_character.py,50.0%,2.5179741382598877
pymoo.algorithms.soo.nonconvex.pattern,22,TRPG_character_create_character.py,50.0%,2.5454602241516113
pymoo.algorithms.soo.nonconvex.pattern,23,TRPG_character_create_character.py,50.0%,2.1146960258483887
pymoo.algorithms.soo.nonconvex.pattern,24,TRPG_character_create_character.py,50.0%,2.6738193035125732
pymoo.algorithms.soo.nonconvex.pattern,25,TRPG_character_create_character.py,50.0%,2.5274229049682617
pymoo.algorithms.soo.nonconvex.pattern,26,TRPG_character_create_character.py,50.0%,2.5914740562438965
pymoo.algorithms.soo.nonconvex.pattern,27,TRPG_character_create_character.py,50.0%,2.854043960571289
pymoo.algorithms.soo.nonconvex.pattern,28,TRPG_character_create_character.py,50.0%,2.399855136871338
pymoo.algorithms.soo.nonconvex.pattern,29,TRPG_character_create_character.py,50.0%,2.0765719413757324
pymoo.algorithms.soo.nonconvex.pattern,30,TRPG_character_create_character.py,50.0%,2.320544958114624
