Algorithm,Iteration,Code Tested,Coverage,Execution Time
pymoo.algorithms.soo.nonconvex.isres,1,bounce_draw.py,100.0%,38.26908278465271
pymoo.algorithms.soo.nonconvex.isres,2,bounce_draw.py,100.0%,36.91102123260498
pymoo.algorithms.soo.nonconvex.isres,3,bounce_draw.py,100.0%,38.339739084243774
pymoo.algorithms.soo.nonconvex.isres,4,bounce_draw.py,100.0%,36.97673010826111
pymoo.algorithms.soo.nonconvex.isres,5,bounce_draw.py,100.0%,37.9799439907074
pymoo.algorithms.soo.nonconvex.isres,6,bounce_draw.py,100.0%,37.16479730606079
pymoo.algorithms.soo.nonconvex.isres,7,bounce_draw.py,100.0%,37.49453616142273
pymoo.algorithms.soo.nonconvex.isres,8,bounce_draw.py,100.0%,37.83143401145935
pymoo.algorithms.soo.nonconvex.isres,9,bounce_draw.py,100.0%,36.1310920715332
pymoo.algorithms.soo.nonconvex.isres,10,bounce_draw.py,100.0%,41.66414403915405
pymoo.algorithms.soo.nonconvex.isres,11,bounce_draw.py,100.0%,38.15111994743347
pymoo.algorithms.soo.nonconvex.isres,12,bounce_draw.py,100.0%,37.69532585144043
pymoo.algorithms.soo.nonconvex.isres,13,bounce_draw.py,100.0%,38.02735781669617
pymoo.algorithms.soo.nonconvex.isres,14,bounce_draw.py,100.0%,36.56036925315857
pymoo.algorithms.soo.nonconvex.isres,15,bounce_draw.py,100.0%,37.98270225524902
pymoo.algorithms.soo.nonconvex.isres,16,bounce_draw.py,100.0%,36.177205085754395
pymoo.algorithms.soo.nonconvex.isres,17,bounce_draw.py,100.0%,37.71844220161438
pymoo.algorithms.soo.nonconvex.isres,18,bounce_draw.py,100.0%,37.68962001800537
pymoo.algorithms.soo.nonconvex.isres,19,bounce_draw.py,100.0%,38.02490305900574
pymoo.algorithms.soo.nonconvex.isres,20,bounce_draw.py,100.0%,38.97918391227722
pymoo.algorithms.soo.nonconvex.isres,21,bounce_draw.py,100.0%,36.62889385223389
pymoo.algorithms.soo.nonconvex.isres,22,bounce_draw.py,100.0%,38.345391035079956
pymoo.algorithms.soo.nonconvex.isres,23,bounce_draw.py,100.0%,36.96499300003052
pymoo.algorithms.soo.nonconvex.isres,24,bounce_draw.py,100.0%,37.485129833221436
pymoo.algorithms.soo.nonconvex.isres,25,bounce_draw.py,100.0%,37.51133108139038
pymoo.algorithms.soo.nonconvex.isres,26,bounce_draw.py,100.0%,36.5323269367218
pymoo.algorithms.soo.nonconvex.isres,27,bounce_draw.py,100.0%,38.41498899459839
pymoo.algorithms.soo.nonconvex.isres,28,bounce_draw.py,100.0%,36.14514517784119
pymoo.algorithms.soo.nonconvex.isres,29,bounce_draw.py,100.0%,37.96410083770752
pymoo.algorithms.soo.nonconvex.isres,30,bounce_draw.py,100.0%,38.45895290374756
