Algorithm,Iteration,Code Tested,Coverage,Execution Time
pymoo.algorithms.soo.nonconvex.nelder,1,bounce_draw.py,100.0%,1.2915148735046387
pymoo.algorithms.soo.nonconvex.nelder,2,bounce_draw.py,100.0%,1.140843152999878
pymoo.algorithms.soo.nonconvex.nelder,3,bounce_draw.py,100.0%,1.1075410842895508
pymoo.algorithms.soo.nonconvex.nelder,4,bounce_draw.py,100.0%,1.1671838760375977
pymoo.algorithms.soo.nonconvex.nelder,5,bounce_draw.py,100.0%,1.163581132888794
pymoo.algorithms.soo.nonconvex.nelder,6,bounce_draw.py,100.0%,1.3089077472686768
pymoo.algorithms.soo.nonconvex.nelder,7,bounce_draw.py,100.0%,1.1351490020751953
pymoo.algorithms.soo.nonconvex.nelder,8,bounce_draw.py,100.0%,1.2072250843048096
pymoo.algorithms.soo.nonconvex.nelder,9,bounce_draw.py,100.0%,1.1700139045715332
pymoo.algorithms.soo.nonconvex.nelder,10,bounce_draw.py,100.0%,1.1259222030639648
pymoo.algorithms.soo.nonconvex.nelder,11,bounce_draw.py,100.0%,1.2389068603515625
pymoo.algorithms.soo.nonconvex.nelder,12,bounce_draw.py,100.0%,1.1571290493011475
pymoo.algorithms.soo.nonconvex.nelder,13,bounce_draw.py,100.0%,1.1832480430603027
pymoo.algorithms.soo.nonconvex.nelder,14,bounce_draw.py,100.0%,1.2421612739562988
pymoo.algorithms.soo.nonconvex.nelder,15,bounce_draw.py,100.0%,1.1281557083129883
pymoo.algorithms.soo.nonconvex.nelder,16,bounce_draw.py,100.0%,1.2703938484191895
pymoo.algorithms.soo.nonconvex.nelder,17,bounce_draw.py,100.0%,1.248495101928711
pymoo.algorithms.soo.nonconvex.nelder,18,bounce_draw.py,100.0%,1.1962261199951172
pymoo.algorithms.soo.nonconvex.nelder,19,bounce_draw.py,100.0%,1.2108442783355713
pymoo.algorithms.soo.nonconvex.nelder,20,bounce_draw.py,100.0%,1.1405198574066162
pymoo.algorithms.soo.nonconvex.nelder,21,bounce_draw.py,100.0%,1.1643078327178955
pymoo.algorithms.soo.nonconvex.nelder,22,bounce_draw.py,100.0%,1.24082612991333
pymoo.algorithms.soo.nonconvex.nelder,23,bounce_draw.py,100.0%,1.1337428092956543
pymoo.algorithms.soo.nonconvex.nelder,24,bounce_draw.py,100.0%,1.2696399688720703
pymoo.algorithms.soo.nonconvex.nelder,25,bounce_draw.py,100.0%,1.2915799617767334
pymoo.algorithms.soo.nonconvex.nelder,26,bounce_draw.py,100.0%,1.158890962600708
pymoo.algorithms.soo.nonconvex.nelder,27,bounce_draw.py,100.0%,1.313288927078247
pymoo.algorithms.soo.nonconvex.nelder,28,bounce_draw.py,100.0%,1.3603019714355469
pymoo.algorithms.soo.nonconvex.nelder,29,bounce_draw.py,100.0%,1.4860339164733887
pymoo.algorithms.soo.nonconvex.nelder,30,bounce_draw.py,100.0%,1.2233967781066895
