Algorithm,Iteration,Code Tested,Coverage,Execution Time
pymoo.algorithms.soo.nonconvex.pattern,1,bounce_draw.py,100.0%,1.3941330909729004
pymoo.algorithms.soo.nonconvex.pattern,2,bounce_draw.py,100.0%,1.2406377792358398
pymoo.algorithms.soo.nonconvex.pattern,3,bounce_draw.py,100.0%,1.3241009712219238
pymoo.algorithms.soo.nonconvex.pattern,4,bounce_draw.py,100.0%,1.2641820907592773
pymoo.algorithms.soo.nonconvex.pattern,5,bounce_draw.py,100.0%,1.327880859375
pymoo.algorithms.soo.nonconvex.pattern,6,bounce_draw.py,100.0%,1.1605439186096191
pymoo.algorithms.soo.nonconvex.pattern,7,bounce_draw.py,100.0%,1.4174370765686035
pymoo.algorithms.soo.nonconvex.pattern,8,bounce_draw.py,100.0%,1.342757225036621
pymoo.algorithms.soo.nonconvex.pattern,9,bounce_draw.py,100.0%,1.2515897750854492
pymoo.algorithms.soo.nonconvex.pattern,10,bounce_draw.py,100.0%,1.3454909324645996
pymoo.algorithms.soo.nonconvex.pattern,11,bounce_draw.py,100.0%,1.141892671585083
pymoo.algorithms.soo.nonconvex.pattern,12,bounce_draw.py,100.0%,1.4123170375823975
pymoo.algorithms.soo.nonconvex.pattern,13,bounce_draw.py,100.0%,1.3616478443145752
pymoo.algorithms.soo.nonconvex.pattern,14,bounce_draw.py,100.0%,1.4303061962127686
pymoo.algorithms.soo.nonconvex.pattern,15,bounce_draw.py,100.0%,1.4409961700439453
pymoo.algorithms.soo.nonconvex.pattern,16,bounce_draw.py,100.0%,1.3504278659820557
pymoo.algorithms.soo.nonconvex.pattern,17,bounce_draw.py,100.0%,1.371164083480835
pymoo.algorithms.soo.nonconvex.pattern,18,bounce_draw.py,100.0%,1.2799358367919922
pymoo.algorithms.soo.nonconvex.pattern,19,bounce_draw.py,100.0%,1.3753001689910889
pymoo.algorithms.soo.nonconvex.pattern,20,bounce_draw.py,100.0%,1.4075510501861572
pymoo.algorithms.soo.nonconvex.pattern,21,bounce_draw.py,100.0%,1.3169949054718018
pymoo.algorithms.soo.nonconvex.pattern,22,bounce_draw.py,100.0%,1.3311569690704346
pymoo.algorithms.soo.nonconvex.pattern,23,bounce_draw.py,100.0%,1.3530340194702148
pymoo.algorithms.soo.nonconvex.pattern,24,bounce_draw.py,100.0%,1.3648488521575928
pymoo.algorithms.soo.nonconvex.pattern,25,bounce_draw.py,100.0%,1.2802329063415527
pymoo.algorithms.soo.nonconvex.pattern,26,bounce_draw.py,100.0%,1.332170009613037
pymoo.algorithms.soo.nonconvex.pattern,27,bounce_draw.py,100.0%,1.2787377834320068
pymoo.algorithms.soo.nonconvex.pattern,28,bounce_draw.py,100.0%,1.3069581985473633
pymoo.algorithms.soo.nonconvex.pattern,29,bounce_draw.py,100.0%,1.2611720561981201
pymoo.algorithms.soo.nonconvex.pattern,30,bounce_draw.py,100.0%,1.4062368869781494
