Algorithm,Iteration,Code Tested,Coverage,Execution Time
pymoo.algorithms.soo.nonconvex.sres,1,bounce_draw.py,100.0%,39.155001163482666
pymoo.algorithms.soo.nonconvex.sres,2,bounce_draw.py,100.0%,38.55764722824097
pymoo.algorithms.soo.nonconvex.sres,3,bounce_draw.py,100.0%,37.77678823471069
pymoo.algorithms.soo.nonconvex.sres,4,bounce_draw.py,100.0%,38.32148718833923
pymoo.algorithms.soo.nonconvex.sres,5,bounce_draw.py,100.0%,36.85301470756531
pymoo.algorithms.soo.nonconvex.sres,6,bounce_draw.py,100.0%,38.22736382484436
pymoo.algorithms.soo.nonconvex.sres,7,bounce_draw.py,100.0%,39.165529012680054
pymoo.algorithms.soo.nonconvex.sres,8,bounce_draw.py,100.0%,37.547910928726196
pymoo.algorithms.soo.nonconvex.sres,9,bounce_draw.py,100.0%,39.68675184249878
pymoo.algorithms.soo.nonconvex.sres,10,bounce_draw.py,100.0%,39.85044980049133
pymoo.algorithms.soo.nonconvex.sres,11,bounce_draw.py,100.0%,40.54360103607178
pymoo.algorithms.soo.nonconvex.sres,12,bounce_draw.py,100.0%,39.90162992477417
pymoo.algorithms.soo.nonconvex.sres,13,bounce_draw.py,100.0%,37.51656174659729
pymoo.algorithms.soo.nonconvex.sres,14,bounce_draw.py,100.0%,36.858254194259644
pymoo.algorithms.soo.nonconvex.sres,15,bounce_draw.py,100.0%,39.236905097961426
pymoo.algorithms.soo.nonconvex.sres,16,bounce_draw.py,100.0%,37.81248211860657
pymoo.algorithms.soo.nonconvex.sres,17,bounce_draw.py,100.0%,37.388654947280884
pymoo.algorithms.soo.nonconvex.sres,18,bounce_draw.py,100.0%,37.50325107574463
pymoo.algorithms.soo.nonconvex.sres,19,bounce_draw.py,100.0%,39.53383016586304
pymoo.algorithms.soo.nonconvex.sres,20,bounce_draw.py,100.0%,38.54591917991638
pymoo.algorithms.soo.nonconvex.sres,21,bounce_draw.py,100.0%,38.42092800140381
pymoo.algorithms.soo.nonconvex.sres,22,bounce_draw.py,100.0%,37.612221002578735
pymoo.algorithms.soo.nonconvex.sres,23,bounce_draw.py,100.0%,37.34337306022644
pymoo.algorithms.soo.nonconvex.sres,24,bounce_draw.py,100.0%,38.4359917640686
pymoo.algorithms.soo.nonconvex.sres,25,bounce_draw.py,100.0%,36.94280290603638
pymoo.algorithms.soo.nonconvex.sres,26,bounce_draw.py,100.0%,38.047757148742676
pymoo.algorithms.soo.nonconvex.sres,27,bounce_draw.py,100.0%,37.38177990913391
pymoo.algorithms.soo.nonconvex.sres,28,bounce_draw.py,100.0%,38.474148988723755
pymoo.algorithms.soo.nonconvex.sres,29,bounce_draw.py,100.0%,38.79649114608765
pymoo.algorithms.soo.nonconvex.sres,30,bounce_draw.py,100.0%,38.63053512573242
