Algorithm,Iteration,Code Tested,Coverage,Execution Time
pymoo.algorithms.soo.nonconvex.ga,1,bubble_sort.py,100.0%,651.22523188591
pymoo.algorithms.soo.nonconvex.ga,2,bubble_sort.py,100.0%,651.8353021144867
pymoo.algorithms.soo.nonconvex.ga,3,bubble_sort.py,100.0%,634.9475319385529
pymoo.algorithms.soo.nonconvex.ga,4,bubble_sort.py,100.0%,570.1222269535065
pymoo.algorithms.soo.nonconvex.ga,5,bubble_sort.py,100.0%,574.776132106781
pymoo.algorithms.soo.nonconvex.ga,6,bubble_sort.py,100.0%,568.6998300552368
pymoo.algorithms.soo.nonconvex.ga,7,bubble_sort.py,100.0%,565.7592098712921
pymoo.algorithms.soo.nonconvex.ga,8,bubble_sort.py,100.0%,566.6855728626251
pymoo.algorithms.soo.nonconvex.ga,9,bubble_sort.py,100.0%,550.124792098999
pymoo.algorithms.soo.nonconvex.ga,10,bubble_sort.py,100.0%,537.2806279659271
pymoo.algorithms.soo.nonconvex.ga,11,bubble_sort.py,100.0%,539.0367171764374
pymoo.algorithms.soo.nonconvex.ga,12,bubble_sort.py,100.0%,535.8463780879974
pymoo.algorithms.soo.nonconvex.ga,13,bubble_sort.py,100.0%,535.1235382556915
pymoo.algorithms.soo.nonconvex.ga,14,bubble_sort.py,100.0%,530.7322480678558
pymoo.algorithms.soo.nonconvex.ga,15,bubble_sort.py,100.0%,460.2418489456177
pymoo.algorithms.soo.nonconvex.ga,16,bubble_sort.py,100.0%,458.65030813217163
pymoo.algorithms.soo.nonconvex.ga,17,bubble_sort.py,100.0%,457.8433258533478
pymoo.algorithms.soo.nonconvex.ga,18,bubble_sort.py,100.0%,460.7083079814911
pymoo.algorithms.soo.nonconvex.ga,19,bubble_sort.py,100.0%,453.5450940132141
pymoo.algorithms.soo.nonconvex.ga,20,bubble_sort.py,100.0%,456.9646759033203
pymoo.algorithms.soo.nonconvex.ga,21,bubble_sort.py,100.0%,458.59430503845215
pymoo.algorithms.soo.nonconvex.ga,22,bubble_sort.py,100.0%,459.5520751476288
pymoo.algorithms.soo.nonconvex.ga,23,bubble_sort.py,100.0%,457.6492748260498
pymoo.algorithms.soo.nonconvex.ga,24,bubble_sort.py,100.0%,459.17003893852234
pymoo.algorithms.soo.nonconvex.ga,25,bubble_sort.py,100.0%,460.62019300460815
pymoo.algorithms.soo.nonconvex.ga,26,bubble_sort.py,100.0%,465.5234019756317
pymoo.algorithms.soo.nonconvex.ga,27,bubble_sort.py,100.0%,465.667179107666
pymoo.algorithms.soo.nonconvex.ga,28,bubble_sort.py,100.0%,470.987667798996
pymoo.algorithms.soo.nonconvex.ga,29,bubble_sort.py,100.0%,465.01138401031494
pymoo.algorithms.soo.nonconvex.ga,30,bubble_sort.py,100.0%,463.1580891609192
