Algorithm,Iteration,Code Tested,Coverage,Execution Time
pymoo.algorithms.soo.nonconvex.pattern,1,bubble_sort.py,75.0%,17.557050943374634
pymoo.algorithms.soo.nonconvex.pattern,2,bubble_sort.py,100.0%,27.761482000350952
pymoo.algorithms.soo.nonconvex.pattern,3,bubble_sort.py,75.0%,17.62865114212036
pymoo.algorithms.soo.nonconvex.pattern,4,bubble_sort.py,100.0%,25.196558237075806
pymoo.algorithms.soo.nonconvex.pattern,5,bubble_sort.py,100.0%,26.867547273635864
pymoo.algorithms.soo.nonconvex.pattern,6,bubble_sort.py,75.0%,18.10609197616577
pymoo.algorithms.soo.nonconvex.pattern,7,bubble_sort.py,100.0%,26.308095932006836
pymoo.algorithms.soo.nonconvex.pattern,8,bubble_sort.py,100.0%,26.525540828704834
pymoo.algorithms.soo.nonconvex.pattern,9,bubble_sort.py,100.0%,25.534658908843994
pymoo.algorithms.soo.nonconvex.pattern,10,bubble_sort.py,100.0%,27.36011290550232
pymoo.algorithms.soo.nonconvex.pattern,11,bubble_sort.py,100.0%,25.21657967567444
pymoo.algorithms.soo.nonconvex.pattern,12,bubble_sort.py,100.0%,26.371456146240234
pymoo.algorithms.soo.nonconvex.pattern,13,bubble_sort.py,100.0%,25.897911071777344
pymoo.algorithms.soo.nonconvex.pattern,14,bubble_sort.py,100.0%,25.74198865890503
pymoo.algorithms.soo.nonconvex.pattern,15,bubble_sort.py,100.0%,27.884577989578247
pymoo.algorithms.soo.nonconvex.pattern,16,bubble_sort.py,100.0%,24.79188108444214
pymoo.algorithms.soo.nonconvex.pattern,17,bubble_sort.py,100.0%,25.31648087501526
pymoo.algorithms.soo.nonconvex.pattern,18,bubble_sort.py,100.0%,27.595449924468994
pymoo.algorithms.soo.nonconvex.pattern,19,bubble_sort.py,100.0%,24.877249002456665
pymoo.algorithms.soo.nonconvex.pattern,20,bubble_sort.py,100.0%,27.252740144729614
pymoo.algorithms.soo.nonconvex.pattern,21,bubble_sort.py,75.0%,17.260271072387695
pymoo.algorithms.soo.nonconvex.pattern,22,bubble_sort.py,75.0%,18.289417266845703
pymoo.algorithms.soo.nonconvex.pattern,23,bubble_sort.py,100.0%,28.337452173233032
pymoo.algorithms.soo.nonconvex.pattern,24,bubble_sort.py,100.0%,25.288084030151367
pymoo.algorithms.soo.nonconvex.pattern,25,bubble_sort.py,100.0%,25.433900833129883
pymoo.algorithms.soo.nonconvex.pattern,26,bubble_sort.py,100.0%,28.077274799346924
pymoo.algorithms.soo.nonconvex.pattern,27,bubble_sort.py,100.0%,25.813117027282715
pymoo.algorithms.soo.nonconvex.pattern,28,bubble_sort.py,100.0%,27.80506420135498
pymoo.algorithms.soo.nonconvex.pattern,29,bubble_sort.py,100.0%,26.35945773124695
pymoo.algorithms.soo.nonconvex.pattern,30,bubble_sort.py,100.0%,27.023804187774658
