Algorithm,Iteration,Code Tested,Coverage,Execution Time
pymoo.algorithms.soo.nonconvex.nelder,1,guess_the_number_input_guess.py,50.0%,4.180011034011841
pymoo.algorithms.soo.nonconvex.nelder,2,guess_the_number_input_guess.py,50.0%,3.9961769580841064
pymoo.algorithms.soo.nonconvex.nelder,3,guess_the_number_input_guess.py,50.0%,3.9407551288604736
pymoo.algorithms.soo.nonconvex.nelder,4,guess_the_number_input_guess.py,50.0%,3.969104051589966
pymoo.algorithms.soo.nonconvex.nelder,5,guess_the_number_input_guess.py,50.0%,3.9635329246520996
pymoo.algorithms.soo.nonconvex.nelder,6,guess_the_number_input_guess.py,50.0%,3.7401552200317383
pymoo.algorithms.soo.nonconvex.nelder,7,guess_the_number_input_guess.py,50.0%,4.167575120925903
pymoo.algorithms.soo.nonconvex.nelder,8,guess_the_number_input_guess.py,50.0%,4.332174062728882
pymoo.algorithms.soo.nonconvex.nelder,9,guess_the_number_input_guess.py,50.0%,4.2081310749053955
pymoo.algorithms.soo.nonconvex.nelder,10,guess_the_number_input_guess.py,50.0%,3.975529193878174
pymoo.algorithms.soo.nonconvex.nelder,11,guess_the_number_input_guess.py,50.0%,4.325438022613525
pymoo.algorithms.soo.nonconvex.nelder,12,guess_the_number_input_guess.py,50.0%,3.998015880584717
pymoo.algorithms.soo.nonconvex.nelder,13,guess_the_number_input_guess.py,50.0%,3.882105827331543
pymoo.algorithms.soo.nonconvex.nelder,14,guess_the_number_input_guess.py,50.0%,4.022552013397217
pymoo.algorithms.soo.nonconvex.nelder,15,guess_the_number_input_guess.py,50.0%,3.845853090286255
pymoo.algorithms.soo.nonconvex.nelder,16,guess_the_number_input_guess.py,50.0%,3.915889263153076
pymoo.algorithms.soo.nonconvex.nelder,17,guess_the_number_input_guess.py,50.0%,3.831077814102173
pymoo.algorithms.soo.nonconvex.nelder,18,guess_the_number_input_guess.py,50.0%,3.9257190227508545
pymoo.algorithms.soo.nonconvex.nelder,19,guess_the_number_input_guess.py,50.0%,4.153809309005737
pymoo.algorithms.soo.nonconvex.nelder,20,guess_the_number_input_guess.py,50.0%,4.052595138549805
pymoo.algorithms.soo.nonconvex.nelder,21,guess_the_number_input_guess.py,50.0%,3.766303062438965
pymoo.algorithms.soo.nonconvex.nelder,22,guess_the_number_input_guess.py,50.0%,4.0606529712677
pymoo.algorithms.soo.nonconvex.nelder,23,guess_the_number_input_guess.py,50.0%,3.795077085494995
pymoo.algorithms.soo.nonconvex.nelder,24,guess_the_number_input_guess.py,50.0%,3.8404388427734375
pymoo.algorithms.soo.nonconvex.nelder,25,guess_the_number_input_guess.py,50.0%,3.4430086612701416
pymoo.algorithms.soo.nonconvex.nelder,26,guess_the_number_input_guess.py,50.0%,4.073770046234131
pymoo.algorithms.soo.nonconvex.nelder,27,guess_the_number_input_guess.py,50.0%,3.2837512493133545
pymoo.algorithms.soo.nonconvex.nelder,28,guess_the_number_input_guess.py,50.0%,3.850285053253174
pymoo.algorithms.soo.nonconvex.nelder,29,guess_the_number_input_guess.py,50.0%,4.108278036117554
pymoo.algorithms.soo.nonconvex.nelder,30,guess_the_number_input_guess.py,50.0%,3.621145248413086
