Algorithm,Iteration,Code Tested,Coverage,Execution Time
pymoo.algorithms.soo.nonconvex.pattern,1,guess_the_number_input_guess.py,50.0%,3.2039318084716797
pymoo.algorithms.soo.nonconvex.pattern,2,guess_the_number_input_guess.py,50.0%,3.0698130130767822
pymoo.algorithms.soo.nonconvex.pattern,3,guess_the_number_input_guess.py,50.0%,3.1802501678466797
pymoo.algorithms.soo.nonconvex.pattern,4,guess_the_number_input_guess.py,50.0%,2.744400978088379
pymoo.algorithms.soo.nonconvex.pattern,5,guess_the_number_input_guess.py,50.0%,2.873065948486328
pymoo.algorithms.soo.nonconvex.pattern,6,guess_the_number_input_guess.py,50.0%,2.958867073059082
pymoo.algorithms.soo.nonconvex.pattern,7,guess_the_number_input_guess.py,50.0%,2.5127968788146973
pymoo.algorithms.soo.nonconvex.pattern,8,guess_the_number_input_guess.py,50.0%,3.073399066925049
pymoo.algorithms.soo.nonconvex.pattern,9,guess_the_number_input_guess.py,50.0%,2.8045589923858643
pymoo.algorithms.soo.nonconvex.pattern,10,guess_the_number_input_guess.py,50.0%,2.898685932159424
pymoo.algorithms.soo.nonconvex.pattern,11,guess_the_number_input_guess.py,50.0%,3.25370192527771
pymoo.algorithms.soo.nonconvex.pattern,12,guess_the_number_input_guess.py,50.0%,2.6196019649505615
pymoo.algorithms.soo.nonconvex.pattern,13,guess_the_number_input_guess.py,50.0%,2.723134756088257
pymoo.algorithms.soo.nonconvex.pattern,14,guess_the_number_input_guess.py,50.0%,3.1028189659118652
pymoo.algorithms.soo.nonconvex.pattern,15,guess_the_number_input_guess.py,50.0%,2.738618850708008
pymoo.algorithms.soo.nonconvex.pattern,16,guess_the_number_input_guess.py,50.0%,2.6732890605926514
pymoo.algorithms.soo.nonconvex.pattern,17,guess_the_number_input_guess.py,50.0%,2.943169116973877
pymoo.algorithms.soo.nonconvex.pattern,18,guess_the_number_input_guess.py,50.0%,3.0177369117736816
pymoo.algorithms.soo.nonconvex.pattern,19,guess_the_number_input_guess.py,50.0%,2.9094221591949463
pymoo.algorithms.soo.nonconvex.pattern,20,guess_the_number_input_guess.py,50.0%,3.0393500328063965
pymoo.algorithms.soo.nonconvex.pattern,21,guess_the_number_input_guess.py,50.0%,2.805464029312134
pymoo.algorithms.soo.nonconvex.pattern,22,guess_the_number_input_guess.py,50.0%,2.5339677333831787
pymoo.algorithms.soo.nonconvex.pattern,23,guess_the_number_input_guess.py,50.0%,2.957023859024048
pymoo.algorithms.soo.nonconvex.pattern,24,guess_the_number_input_guess.py,50.0%,2.943233013153076
pymoo.algorithms.soo.nonconvex.pattern,25,guess_the_number_input_guess.py,50.0%,2.962209701538086
pymoo.algorithms.soo.nonconvex.pattern,26,guess_the_number_input_guess.py,50.0%,2.6913650035858154
pymoo.algorithms.soo.nonconvex.pattern,27,guess_the_number_input_guess.py,50.0%,2.695291042327881
pymoo.algorithms.soo.nonconvex.pattern,28,guess_the_number_input_guess.py,50.0%,2.889796257019043
pymoo.algorithms.soo.nonconvex.pattern,29,guess_the_number_input_guess.py,50.0%,3.0099902153015137
pymoo.algorithms.soo.nonconvex.pattern,30,guess_the_number_input_guess.py,50.0%,2.56299090385437
