Algorithm,Iteration,Code Tested,Coverage,Execution Time
pymoo.algorithms.soo.nonconvex.ga,1,jogo_da_velha_python_actualizar_jogadas.py,100.0%,193.04277777671814
pymoo.algorithms.soo.nonconvex.ga,2,jogo_da_velha_python_actualizar_jogadas.py,88.88888888888889%,174.48152613639832
pymoo.algorithms.soo.nonconvex.ga,3,jogo_da_velha_python_actualizar_jogadas.py,88.88888888888889%,183.74750185012817
pymoo.algorithms.soo.nonconvex.ga,4,jogo_da_velha_python_actualizar_jogadas.py,88.88888888888889%,175.14064002037048
pymoo.algorithms.soo.nonconvex.ga,5,jogo_da_velha_python_actualizar_jogadas.py,100.0%,251.20773100852966
pymoo.algorithms.soo.nonconvex.ga,6,jogo_da_velha_python_actualizar_jogadas.py,100.0%,258.8080987930298
pymoo.algorithms.soo.nonconvex.ga,7,jogo_da_velha_python_actualizar_jogadas.py,100.0%,237.6466999053955
pymoo.algorithms.soo.nonconvex.ga,8,jogo_da_velha_python_actualizar_jogadas.py,100.0%,254.19356417655945
pymoo.algorithms.soo.nonconvex.ga,9,jogo_da_velha_python_actualizar_jogadas.py,88.88888888888889%,167.60687899589539
pymoo.algorithms.soo.nonconvex.ga,10,jogo_da_velha_python_actualizar_jogadas.py,100.0%,187.78848791122437
pymoo.algorithms.soo.nonconvex.ga,11,jogo_da_velha_python_actualizar_jogadas.py,100.0%,187.47795295715332
pymoo.algorithms.soo.nonconvex.ga,12,jogo_da_velha_python_actualizar_jogadas.py,100.0%,185.5738399028778
pymoo.algorithms.soo.nonconvex.ga,13,jogo_da_velha_python_actualizar_jogadas.py,100.0%,187.48347067832947
pymoo.algorithms.soo.nonconvex.ga,14,jogo_da_velha_python_actualizar_jogadas.py,100.0%,186.4880678653717
pymoo.algorithms.soo.nonconvex.ga,15,jogo_da_velha_python_actualizar_jogadas.py,100.0%,192.81922507286072
pymoo.algorithms.soo.nonconvex.ga,16,jogo_da_velha_python_actualizar_jogadas.py,100.0%,188.8837330341339
pymoo.algorithms.soo.nonconvex.ga,17,jogo_da_velha_python_actualizar_jogadas.py,100.0%,187.85197687149048
pymoo.algorithms.soo.nonconvex.ga,18,jogo_da_velha_python_actualizar_jogadas.py,88.88888888888889%,167.88006281852722
pymoo.algorithms.soo.nonconvex.ga,19,jogo_da_velha_python_actualizar_jogadas.py,100.0%,189.31561088562012
pymoo.algorithms.soo.nonconvex.ga,20,jogo_da_velha_python_actualizar_jogadas.py,100.0%,189.93312311172485
pymoo.algorithms.soo.nonconvex.ga,21,jogo_da_velha_python_actualizar_jogadas.py,100.0%,190.17541193962097
pymoo.algorithms.soo.nonconvex.ga,22,jogo_da_velha_python_actualizar_jogadas.py,100.0%,187.3248188495636
pymoo.algorithms.soo.nonconvex.ga,23,jogo_da_velha_python_actualizar_jogadas.py,100.0%,191.80630898475647
pymoo.algorithms.soo.nonconvex.ga,24,jogo_da_velha_python_actualizar_jogadas.py,100.0%,189.34693503379822
pymoo.algorithms.soo.nonconvex.ga,25,jogo_da_velha_python_actualizar_jogadas.py,100.0%,182.60259771347046
pymoo.algorithms.soo.nonconvex.ga,26,jogo_da_velha_python_actualizar_jogadas.py,100.0%,183.16016674041748
pymoo.algorithms.soo.nonconvex.ga,27,jogo_da_velha_python_actualizar_jogadas.py,100.0%,179.06430077552795
pymoo.algorithms.soo.nonconvex.ga,28,jogo_da_velha_python_actualizar_jogadas.py,100.0%,180.69581484794617
pymoo.algorithms.soo.nonconvex.ga,29,jogo_da_velha_python_actualizar_jogadas.py,100.0%,179.7551519870758
pymoo.algorithms.soo.nonconvex.ga,30,jogo_da_velha_python_actualizar_jogadas.py,88.88888888888889%,160.4406921863556
