Algorithm,Iteration,Code Tested,Coverage,Execution Time
pymoo.algorithms.soo.nonconvex.isres,1,jogo_da_velha_python_actualizar_jogadas.py,100.0%,299.0044140815735
pymoo.algorithms.soo.nonconvex.isres,2,jogo_da_velha_python_actualizar_jogadas.py,100.0%,300.925498008728
pymoo.algorithms.soo.nonconvex.isres,3,jogo_da_velha_python_actualizar_jogadas.py,100.0%,303.28161692619324
pymoo.algorithms.soo.nonconvex.isres,4,jogo_da_velha_python_actualizar_jogadas.py,100.0%,303.95491790771484
pymoo.algorithms.soo.nonconvex.isres,5,jogo_da_velha_python_actualizar_jogadas.py,100.0%,302.7762007713318
pymoo.algorithms.soo.nonconvex.isres,6,jogo_da_velha_python_actualizar_jogadas.py,100.0%,296.60922384262085
pymoo.algorithms.soo.nonconvex.isres,7,jogo_da_velha_python_actualizar_jogadas.py,100.0%,305.52815198898315
pymoo.algorithms.soo.nonconvex.isres,8,jogo_da_velha_python_actualizar_jogadas.py,100.0%,302.679970741272
pymoo.algorithms.soo.nonconvex.isres,9,jogo_da_velha_python_actualizar_jogadas.py,100.0%,304.33805298805237
pymoo.algorithms.soo.nonconvex.isres,10,jogo_da_velha_python_actualizar_jogadas.py,100.0%,305.4685790538788
pymoo.algorithms.soo.nonconvex.isres,11,jogo_da_velha_python_actualizar_jogadas.py,100.0%,306.41483211517334
pymoo.algorithms.soo.nonconvex.isres,12,jogo_da_velha_python_actualizar_jogadas.py,100.0%,303.0833878517151
pymoo.algorithms.soo.nonconvex.isres,13,jogo_da_velha_python_actualizar_jogadas.py,100.0%,304.77439403533936
pymoo.algorithms.soo.nonconvex.isres,14,jogo_da_velha_python_actualizar_jogadas.py,100.0%,302.4793689250946
pymoo.algorithms.soo.nonconvex.isres,15,jogo_da_velha_python_actualizar_jogadas.py,100.0%,306.1908769607544
pymoo.algorithms.soo.nonconvex.isres,16,jogo_da_velha_python_actualizar_jogadas.py,100.0%,297.4632079601288
pymoo.algorithms.soo.nonconvex.isres,17,jogo_da_velha_python_actualizar_jogadas.py,100.0%,300.1208691596985
pymoo.algorithms.soo.nonconvex.isres,18,jogo_da_velha_python_actualizar_jogadas.py,100.0%,300.6205940246582
pymoo.algorithms.soo.nonconvex.isres,19,jogo_da_velha_python_actualizar_jogadas.py,100.0%,295.29816913604736
pymoo.algorithms.soo.nonconvex.isres,20,jogo_da_velha_python_actualizar_jogadas.py,100.0%,304.5432708263397
pymoo.algorithms.soo.nonconvex.isres,21,jogo_da_velha_python_actualizar_jogadas.py,100.0%,301.0902018547058
pymoo.algorithms.soo.nonconvex.isres,22,jogo_da_velha_python_actualizar_jogadas.py,100.0%,303.58486819267273
pymoo.algorithms.soo.nonconvex.isres,23,jogo_da_velha_python_actualizar_jogadas.py,100.0%,301.00253987312317
pymoo.algorithms.soo.nonconvex.isres,24,jogo_da_velha_python_actualizar_jogadas.py,100.0%,304.7131221294403
pymoo.algorithms.soo.nonconvex.isres,25,jogo_da_velha_python_actualizar_jogadas.py,100.0%,302.6817238330841
pymoo.algorithms.soo.nonconvex.isres,26,jogo_da_velha_python_actualizar_jogadas.py,100.0%,301.14114117622375
pymoo.algorithms.soo.nonconvex.isres,27,jogo_da_velha_python_actualizar_jogadas.py,100.0%,298.685081243515
pymoo.algorithms.soo.nonconvex.isres,28,jogo_da_velha_python_actualizar_jogadas.py,100.0%,298.2256429195404
pymoo.algorithms.soo.nonconvex.isres,29,jogo_da_velha_python_actualizar_jogadas.py,100.0%,302.2031669616699
pymoo.algorithms.soo.nonconvex.isres,30,jogo_da_velha_python_actualizar_jogadas.py,100.0%,297.86871671676636
