Algorithm,Iteration,Code Tested,Coverage,Execution Time
pymoo.algorithms.soo.nonconvex.nelder,1,jogo_da_velha_python_actualizar_jogadas.py,55.55555555555556%,3.747079849243164
pymoo.algorithms.soo.nonconvex.nelder,2,jogo_da_velha_python_actualizar_jogadas.py,44.44444444444444%,3.1608829498291016
pymoo.algorithms.soo.nonconvex.nelder,3,jogo_da_velha_python_actualizar_jogadas.py,44.44444444444444%,3.1406102180480957
pymoo.algorithms.soo.nonconvex.nelder,4,jogo_da_velha_python_actualizar_jogadas.py,22.22222222222222%,1.7847392559051514
pymoo.algorithms.soo.nonconvex.nelder,5,jogo_da_velha_python_actualizar_jogadas.py,22.22222222222222%,2.1191771030426025
pymoo.algorithms.soo.nonconvex.nelder,6,jogo_da_velha_python_actualizar_jogadas.py,11.11111111111111%,1.3957929611206055
pymoo.algorithms.soo.nonconvex.nelder,7,jogo_da_velha_python_actualizar_jogadas.py,55.55555555555556%,3.7167270183563232
pymoo.algorithms.soo.nonconvex.nelder,8,jogo_da_velha_python_actualizar_jogadas.py,33.33333333333333%,2.959718942642212
pymoo.algorithms.soo.nonconvex.nelder,9,jogo_da_velha_python_actualizar_jogadas.py,22.22222222222222%,1.8455109596252441
pymoo.algorithms.soo.nonconvex.nelder,10,jogo_da_velha_python_actualizar_jogadas.py,44.44444444444444%,3.2287189960479736
pymoo.algorithms.soo.nonconvex.nelder,11,jogo_da_velha_python_actualizar_jogadas.py,66.66666666666666%,4.45798134803772
pymoo.algorithms.soo.nonconvex.nelder,12,jogo_da_velha_python_actualizar_jogadas.py,33.33333333333333%,2.7288031578063965
pymoo.algorithms.soo.nonconvex.nelder,13,jogo_da_velha_python_actualizar_jogadas.py,22.22222222222222%,1.9902079105377197
pymoo.algorithms.soo.nonconvex.nelder,14,jogo_da_velha_python_actualizar_jogadas.py,44.44444444444444%,3.5777652263641357
pymoo.algorithms.soo.nonconvex.nelder,15,jogo_da_velha_python_actualizar_jogadas.py,44.44444444444444%,3.596729040145874
pymoo.algorithms.soo.nonconvex.nelder,16,jogo_da_velha_python_actualizar_jogadas.py,22.22222222222222%,1.8137547969818115
pymoo.algorithms.soo.nonconvex.nelder,17,jogo_da_velha_python_actualizar_jogadas.py,66.66666666666666%,4.616828918457031
pymoo.algorithms.soo.nonconvex.nelder,18,jogo_da_velha_python_actualizar_jogadas.py,22.22222222222222%,1.8674180507659912
pymoo.algorithms.soo.nonconvex.nelder,19,jogo_da_velha_python_actualizar_jogadas.py,66.66666666666666%,4.62649393081665
pymoo.algorithms.soo.nonconvex.nelder,20,jogo_da_velha_python_actualizar_jogadas.py,11.11111111111111%,1.414682149887085
pymoo.algorithms.soo.nonconvex.nelder,21,jogo_da_velha_python_actualizar_jogadas.py,77.77777777777779%,5.455806255340576
pymoo.algorithms.soo.nonconvex.nelder,22,jogo_da_velha_python_actualizar_jogadas.py,11.11111111111111%,1.216806173324585
pymoo.algorithms.soo.nonconvex.nelder,23,jogo_da_velha_python_actualizar_jogadas.py,44.44444444444444%,2.8237972259521484
pymoo.algorithms.soo.nonconvex.nelder,24,jogo_da_velha_python_actualizar_jogadas.py,22.22222222222222%,2.1080119609832764
pymoo.algorithms.soo.nonconvex.nelder,25,jogo_da_velha_python_actualizar_jogadas.py,22.22222222222222%,2.133932113647461
pymoo.algorithms.soo.nonconvex.nelder,26,jogo_da_velha_python_actualizar_jogadas.py,44.44444444444444%,3.212697982788086
pymoo.algorithms.soo.nonconvex.nelder,27,jogo_da_velha_python_actualizar_jogadas.py,44.44444444444444%,3.306931972503662
pymoo.algorithms.soo.nonconvex.nelder,28,jogo_da_velha_python_actualizar_jogadas.py,66.66666666666666%,3.949808120727539
pymoo.algorithms.soo.nonconvex.nelder,29,jogo_da_velha_python_actualizar_jogadas.py,22.22222222222222%,2.2233710289001465
pymoo.algorithms.soo.nonconvex.nelder,30,jogo_da_velha_python_actualizar_jogadas.py,55.55555555555556%,3.8671369552612305
