Algorithm,Iteration,Code Tested,Coverage,Execution Time
pymoo.algorithms.soo.nonconvex.sres,1,jogo_da_velha_python_actualizar_jogadas.py,100.0%,286.77426409721375
pymoo.algorithms.soo.nonconvex.sres,2,jogo_da_velha_python_actualizar_jogadas.py,100.0%,278.6214647293091
pymoo.algorithms.soo.nonconvex.sres,3,jogo_da_velha_python_actualizar_jogadas.py,100.0%,286.3495411872864
pymoo.algorithms.soo.nonconvex.sres,4,jogo_da_velha_python_actualizar_jogadas.py,100.0%,284.4275691509247
pymoo.algorithms.soo.nonconvex.sres,5,jogo_da_velha_python_actualizar_jogadas.py,100.0%,282.9070658683777
pymoo.algorithms.soo.nonconvex.sres,6,jogo_da_velha_python_actualizar_jogadas.py,100.0%,284.08841705322266
pymoo.algorithms.soo.nonconvex.sres,7,jogo_da_velha_python_actualizar_jogadas.py,100.0%,287.5998718738556
pymoo.algorithms.soo.nonconvex.sres,8,jogo_da_velha_python_actualizar_jogadas.py,100.0%,283.32496094703674
pymoo.algorithms.soo.nonconvex.sres,9,jogo_da_velha_python_actualizar_jogadas.py,100.0%,291.1104350090027
pymoo.algorithms.soo.nonconvex.sres,10,jogo_da_velha_python_actualizar_jogadas.py,100.0%,286.56724095344543
pymoo.algorithms.soo.nonconvex.sres,11,jogo_da_velha_python_actualizar_jogadas.py,100.0%,291.5603859424591
pymoo.algorithms.soo.nonconvex.sres,12,jogo_da_velha_python_actualizar_jogadas.py,100.0%,290.22549200057983
pymoo.algorithms.soo.nonconvex.sres,13,jogo_da_velha_python_actualizar_jogadas.py,100.0%,289.88654112815857
pymoo.algorithms.soo.nonconvex.sres,14,jogo_da_velha_python_actualizar_jogadas.py,100.0%,285.8121762275696
pymoo.algorithms.soo.nonconvex.sres,15,jogo_da_velha_python_actualizar_jogadas.py,100.0%,288.67238664627075
pymoo.algorithms.soo.nonconvex.sres,16,jogo_da_velha_python_actualizar_jogadas.py,100.0%,286.62044882774353
pymoo.algorithms.soo.nonconvex.sres,17,jogo_da_velha_python_actualizar_jogadas.py,100.0%,288.3142948150635
pymoo.algorithms.soo.nonconvex.sres,18,jogo_da_velha_python_actualizar_jogadas.py,100.0%,290.33291482925415
pymoo.algorithms.soo.nonconvex.sres,19,jogo_da_velha_python_actualizar_jogadas.py,100.0%,289.16815161705017
pymoo.algorithms.soo.nonconvex.sres,20,jogo_da_velha_python_actualizar_jogadas.py,100.0%,283.8536961078644
pymoo.algorithms.soo.nonconvex.sres,21,jogo_da_velha_python_actualizar_jogadas.py,100.0%,294.6532039642334
pymoo.algorithms.soo.nonconvex.sres,22,jogo_da_velha_python_actualizar_jogadas.py,100.0%,286.50528597831726
pymoo.algorithms.soo.nonconvex.sres,23,jogo_da_velha_python_actualizar_jogadas.py,100.0%,300.82163286209106
pymoo.algorithms.soo.nonconvex.sres,24,jogo_da_velha_python_actualizar_jogadas.py,100.0%,290.2910978794098
pymoo.algorithms.soo.nonconvex.sres,25,jogo_da_velha_python_actualizar_jogadas.py,100.0%,290.76653504371643
pymoo.algorithms.soo.nonconvex.sres,26,jogo_da_velha_python_actualizar_jogadas.py,100.0%,290.945170879364
pymoo.algorithms.soo.nonconvex.sres,27,jogo_da_velha_python_actualizar_jogadas.py,100.0%,287.72095489501953
pymoo.algorithms.soo.nonconvex.sres,28,jogo_da_velha_python_actualizar_jogadas.py,100.0%,286.28964376449585
pymoo.algorithms.soo.nonconvex.sres,29,jogo_da_velha_python_actualizar_jogadas.py,100.0%,288.2652540206909
pymoo.algorithms.soo.nonconvex.sres,30,jogo_da_velha_python_actualizar_jogadas.py,100.0%,290.3972182273865
