Algorithm,Iteration,Code Tested,Coverage,Execution Time
pymoo.algorithms.soo.nonconvex.nelder,1,minimum.py,100.0%,9.263782978057861
pymoo.algorithms.soo.nonconvex.nelder,2,minimum.py,100.0%,9.893862962722778
pymoo.algorithms.soo.nonconvex.nelder,3,minimum.py,100.0%,8.961008071899414
pymoo.algorithms.soo.nonconvex.nelder,4,minimum.py,100.0%,11.708510875701904
pymoo.algorithms.soo.nonconvex.nelder,5,minimum.py,100.0%,10.73922872543335
pymoo.algorithms.soo.nonconvex.nelder,6,minimum.py,100.0%,8.782885074615479
pymoo.algorithms.soo.nonconvex.nelder,7,minimum.py,100.0%,12.242799758911133
pymoo.algorithms.soo.nonconvex.nelder,8,minimum.py,100.0%,12.408645868301392
pymoo.algorithms.soo.nonconvex.nelder,9,minimum.py,100.0%,14.31118106842041
pymoo.algorithms.soo.nonconvex.nelder,10,minimum.py,100.0%,10.744771003723145
pymoo.algorithms.soo.nonconvex.nelder,11,minimum.py,100.0%,8.22196888923645
pymoo.algorithms.soo.nonconvex.nelder,12,minimum.py,100.0%,8.675326108932495
pymoo.algorithms.soo.nonconvex.nelder,13,minimum.py,100.0%,11.458006143569946
pymoo.algorithms.soo.nonconvex.nelder,14,minimum.py,100.0%,14.969770908355713
pymoo.algorithms.soo.nonconvex.nelder,15,minimum.py,100.0%,8.84873914718628
pymoo.algorithms.soo.nonconvex.nelder,16,minimum.py,100.0%,12.248884916305542
pymoo.algorithms.soo.nonconvex.nelder,17,minimum.py,100.0%,8.552825689315796
pymoo.algorithms.soo.nonconvex.nelder,18,minimum.py,100.0%,14.193573236465454
pymoo.algorithms.soo.nonconvex.nelder,19,minimum.py,100.0%,11.620181798934937
pymoo.algorithms.soo.nonconvex.nelder,20,minimum.py,100.0%,8.967336177825928
pymoo.algorithms.soo.nonconvex.nelder,21,minimum.py,100.0%,9.099700927734375
pymoo.algorithms.soo.nonconvex.nelder,22,minimum.py,100.0%,9.585936069488525
pymoo.algorithms.soo.nonconvex.nelder,23,minimum.py,100.0%,12.19353699684143
pymoo.algorithms.soo.nonconvex.nelder,24,minimum.py,100.0%,14.111897945404053
pymoo.algorithms.soo.nonconvex.nelder,25,minimum.py,100.0%,8.38648509979248
pymoo.algorithms.soo.nonconvex.nelder,26,minimum.py,100.0%,8.10592794418335
pymoo.algorithms.soo.nonconvex.nelder,27,minimum.py,100.0%,14.463710069656372
pymoo.algorithms.soo.nonconvex.nelder,28,minimum.py,100.0%,12.265563011169434
pymoo.algorithms.soo.nonconvex.nelder,29,minimum.py,100.0%,15.583452939987183
pymoo.algorithms.soo.nonconvex.nelder,30,minimum.py,100.0%,9.188955783843994
