Algorithm,Iteration,Code Tested,Coverage,Execution Time
pymoo.algorithms.soo.nonconvex.pattern,1,minimum.py,100.0%,19.34784984588623
pymoo.algorithms.soo.nonconvex.pattern,2,minimum.py,100.0%,20.775222063064575
pymoo.algorithms.soo.nonconvex.pattern,3,minimum.py,100.0%,20.854095935821533
pymoo.algorithms.soo.nonconvex.pattern,4,minimum.py,100.0%,20.10863494873047
pymoo.algorithms.soo.nonconvex.pattern,5,minimum.py,100.0%,19.196718215942383
pymoo.algorithms.soo.nonconvex.pattern,6,minimum.py,100.0%,20.072069883346558
pymoo.algorithms.soo.nonconvex.pattern,7,minimum.py,100.0%,21.577836990356445
pymoo.algorithms.soo.nonconvex.pattern,8,minimum.py,100.0%,19.97475814819336
pymoo.algorithms.soo.nonconvex.pattern,9,minimum.py,100.0%,18.85006308555603
pymoo.algorithms.soo.nonconvex.pattern,10,minimum.py,100.0%,20.161577939987183
pymoo.algorithms.soo.nonconvex.pattern,11,minimum.py,100.0%,21.072388887405396
pymoo.algorithms.soo.nonconvex.pattern,12,minimum.py,100.0%,19.933907985687256
pymoo.algorithms.soo.nonconvex.pattern,13,minimum.py,100.0%,19.258044004440308
pymoo.algorithms.soo.nonconvex.pattern,14,minimum.py,100.0%,20.828032970428467
pymoo.algorithms.soo.nonconvex.pattern,15,minimum.py,100.0%,20.557427167892456
pymoo.algorithms.soo.nonconvex.pattern,16,minimum.py,100.0%,19.07017183303833
pymoo.algorithms.soo.nonconvex.pattern,17,minimum.py,100.0%,19.12001895904541
pymoo.algorithms.soo.nonconvex.pattern,18,minimum.py,100.0%,20.159398317337036
pymoo.algorithms.soo.nonconvex.pattern,19,minimum.py,100.0%,20.178807020187378
pymoo.algorithms.soo.nonconvex.pattern,20,minimum.py,100.0%,20.073450088500977
pymoo.algorithms.soo.nonconvex.pattern,21,minimum.py,100.0%,19.11948299407959
pymoo.algorithms.soo.nonconvex.pattern,22,minimum.py,100.0%,20.321473121643066
pymoo.algorithms.soo.nonconvex.pattern,23,minimum.py,100.0%,20.69023084640503
pymoo.algorithms.soo.nonconvex.pattern,24,minimum.py,100.0%,19.014299154281616
pymoo.algorithms.soo.nonconvex.pattern,25,minimum.py,100.0%,20.300956964492798
pymoo.algorithms.soo.nonconvex.pattern,26,minimum.py,100.0%,21.13828992843628
pymoo.algorithms.soo.nonconvex.pattern,27,minimum.py,100.0%,21.227699995040894
pymoo.algorithms.soo.nonconvex.pattern,28,minimum.py,100.0%,19.52874493598938
pymoo.algorithms.soo.nonconvex.pattern,29,minimum.py,100.0%,20.191776990890503
pymoo.algorithms.soo.nonconvex.pattern,30,minimum.py,100.0%,21.10109281539917
