Algorithm,Iteration,Code Tested,Coverage,Execution Time
pymoo.algorithms.soo.nonconvex.nelder,1,rock_paper_scissor_number_to_name.py,16.666666666666664%,3.937386989593506
pymoo.algorithms.soo.nonconvex.nelder,2,rock_paper_scissor_number_to_name.py,16.666666666666664%,3.394608974456787
pymoo.algorithms.soo.nonconvex.nelder,3,rock_paper_scissor_number_to_name.py,16.666666666666664%,3.838834047317505
pymoo.algorithms.soo.nonconvex.nelder,4,rock_paper_scissor_number_to_name.py,16.666666666666664%,4.056355714797974
pymoo.algorithms.soo.nonconvex.nelder,5,rock_paper_scissor_number_to_name.py,16.666666666666664%,4.048602104187012
pymoo.algorithms.soo.nonconvex.nelder,6,rock_paper_scissor_number_to_name.py,16.666666666666664%,3.547767162322998
pymoo.algorithms.soo.nonconvex.nelder,7,rock_paper_scissor_number_to_name.py,16.666666666666664%,3.934941053390503
pymoo.algorithms.soo.nonconvex.nelder,8,rock_paper_scissor_number_to_name.py,16.666666666666664%,3.7892401218414307
pymoo.algorithms.soo.nonconvex.nelder,9,rock_paper_scissor_number_to_name.py,16.666666666666664%,3.4335427284240723
pymoo.algorithms.soo.nonconvex.nelder,10,rock_paper_scissor_number_to_name.py,16.666666666666664%,4.086695909500122
pymoo.algorithms.soo.nonconvex.nelder,11,rock_paper_scissor_number_to_name.py,16.666666666666664%,3.961268901824951
pymoo.algorithms.soo.nonconvex.nelder,12,rock_paper_scissor_number_to_name.py,16.666666666666664%,3.7212188243865967
pymoo.algorithms.soo.nonconvex.nelder,13,rock_paper_scissor_number_to_name.py,16.666666666666664%,3.8835010528564453
pymoo.algorithms.soo.nonconvex.nelder,14,rock_paper_scissor_number_to_name.py,16.666666666666664%,3.770522117614746
pymoo.algorithms.soo.nonconvex.nelder,15,rock_paper_scissor_number_to_name.py,16.666666666666664%,3.7041988372802734
pymoo.algorithms.soo.nonconvex.nelder,16,rock_paper_scissor_number_to_name.py,16.666666666666664%,3.6521759033203125
pymoo.algorithms.soo.nonconvex.nelder,17,rock_paper_scissor_number_to_name.py,16.666666666666664%,3.552201986312866
pymoo.algorithms.soo.nonconvex.nelder,18,rock_paper_scissor_number_to_name.py,16.666666666666664%,3.9965507984161377
pymoo.algorithms.soo.nonconvex.nelder,19,rock_paper_scissor_number_to_name.py,16.666666666666664%,3.7927489280700684
pymoo.algorithms.soo.nonconvex.nelder,20,rock_paper_scissor_number_to_name.py,16.666666666666664%,4.118061065673828
pymoo.algorithms.soo.nonconvex.nelder,21,rock_paper_scissor_number_to_name.py,16.666666666666664%,4.26848578453064
pymoo.algorithms.soo.nonconvex.nelder,22,rock_paper_scissor_number_to_name.py,16.666666666666664%,4.091653823852539
pymoo.algorithms.soo.nonconvex.nelder,23,rock_paper_scissor_number_to_name.py,16.666666666666664%,3.8006889820098877
pymoo.algorithms.soo.nonconvex.nelder,24,rock_paper_scissor_number_to_name.py,16.666666666666664%,3.7249670028686523
pymoo.algorithms.soo.nonconvex.nelder,25,rock_paper_scissor_number_to_name.py,16.666666666666664%,3.833207845687866
pymoo.algorithms.soo.nonconvex.nelder,26,rock_paper_scissor_number_to_name.py,16.666666666666664%,3.7960927486419678
pymoo.algorithms.soo.nonconvex.nelder,27,rock_paper_scissor_number_to_name.py,16.666666666666664%,3.69153094291687
pymoo.algorithms.soo.nonconvex.nelder,28,rock_paper_scissor_number_to_name.py,16.666666666666664%,3.223294973373413
pymoo.algorithms.soo.nonconvex.nelder,29,rock_paper_scissor_number_to_name.py,16.666666666666664%,4.02501106262207
pymoo.algorithms.soo.nonconvex.nelder,30,rock_paper_scissor_number_to_name.py,16.666666666666664%,3.5744469165802
