Algorithm,Iteration,Code Tested,Coverage,Execution Time
pymoo.algorithms.soo.nonconvex.pattern,1,rock_paper_scissor_number_to_name.py,16.666666666666664%,2.723252058029175
pymoo.algorithms.soo.nonconvex.pattern,2,rock_paper_scissor_number_to_name.py,16.666666666666664%,2.4187371730804443
pymoo.algorithms.soo.nonconvex.pattern,3,rock_paper_scissor_number_to_name.py,16.666666666666664%,2.4570608139038086
pymoo.algorithms.soo.nonconvex.pattern,4,rock_paper_scissor_number_to_name.py,16.666666666666664%,2.5836830139160156
pymoo.algorithms.soo.nonconvex.pattern,5,rock_paper_scissor_number_to_name.py,16.666666666666664%,2.6436898708343506
pymoo.algorithms.soo.nonconvex.pattern,6,rock_paper_scissor_number_to_name.py,16.666666666666664%,2.5676119327545166
pymoo.algorithms.soo.nonconvex.pattern,7,rock_paper_scissor_number_to_name.py,16.666666666666664%,2.3153247833251953
pymoo.algorithms.soo.nonconvex.pattern,8,rock_paper_scissor_number_to_name.py,16.666666666666664%,2.4589807987213135
pymoo.algorithms.soo.nonconvex.pattern,9,rock_paper_scissor_number_to_name.py,16.666666666666664%,3.002124071121216
pymoo.algorithms.soo.nonconvex.pattern,10,rock_paper_scissor_number_to_name.py,16.666666666666664%,2.4624669551849365
pymoo.algorithms.soo.nonconvex.pattern,11,rock_paper_scissor_number_to_name.py,16.666666666666664%,2.472388982772827
pymoo.algorithms.soo.nonconvex.pattern,12,rock_paper_scissor_number_to_name.py,16.666666666666664%,2.75685715675354
pymoo.algorithms.soo.nonconvex.pattern,13,rock_paper_scissor_number_to_name.py,16.666666666666664%,2.425851821899414
pymoo.algorithms.soo.nonconvex.pattern,14,rock_paper_scissor_number_to_name.py,16.666666666666664%,2.876643180847168
pymoo.algorithms.soo.nonconvex.pattern,15,rock_paper_scissor_number_to_name.py,16.666666666666664%,2.6757051944732666
pymoo.algorithms.soo.nonconvex.pattern,16,rock_paper_scissor_number_to_name.py,16.666666666666664%,2.5195751190185547
pymoo.algorithms.soo.nonconvex.pattern,17,rock_paper_scissor_number_to_name.py,16.666666666666664%,2.763731002807617
pymoo.algorithms.soo.nonconvex.pattern,18,rock_paper_scissor_number_to_name.py,16.666666666666664%,2.7672319412231445
pymoo.algorithms.soo.nonconvex.pattern,19,rock_paper_scissor_number_to_name.py,16.666666666666664%,2.5766589641571045
pymoo.algorithms.soo.nonconvex.pattern,20,rock_paper_scissor_number_to_name.py,16.666666666666664%,2.785262107849121
pymoo.algorithms.soo.nonconvex.pattern,21,rock_paper_scissor_number_to_name.py,16.666666666666664%,2.569934844970703
pymoo.algorithms.soo.nonconvex.pattern,22,rock_paper_scissor_number_to_name.py,16.666666666666664%,2.484802007675171
pymoo.algorithms.soo.nonconvex.pattern,23,rock_paper_scissor_number_to_name.py,16.666666666666664%,2.6585500240325928
pymoo.algorithms.soo.nonconvex.pattern,24,rock_paper_scissor_number_to_name.py,16.666666666666664%,3.053722858428955
pymoo.algorithms.soo.nonconvex.pattern,25,rock_paper_scissor_number_to_name.py,16.666666666666664%,2.663027048110962
pymoo.algorithms.soo.nonconvex.pattern,26,rock_paper_scissor_number_to_name.py,16.666666666666664%,2.4237887859344482
pymoo.algorithms.soo.nonconvex.pattern,27,rock_paper_scissor_number_to_name.py,16.666666666666664%,2.5203800201416016
pymoo.algorithms.soo.nonconvex.pattern,28,rock_paper_scissor_number_to_name.py,16.666666666666664%,2.494720935821533
pymoo.algorithms.soo.nonconvex.pattern,29,rock_paper_scissor_number_to_name.py,16.666666666666664%,2.96174693107605
pymoo.algorithms.soo.nonconvex.pattern,30,rock_paper_scissor_number_to_name.py,16.666666666666664%,2.4462568759918213
