Algorithm,Iteration,Code Tested,Coverage,Execution Time
pymoo.algorithms.soo.nonconvex.nelder,1,rock_paper_scissor_player_choice.py,100.0%,8.127295017242432
pymoo.algorithms.soo.nonconvex.nelder,2,rock_paper_scissor_player_choice.py,66.66666666666666%,5.924616098403931
pymoo.algorithms.soo.nonconvex.nelder,3,rock_paper_scissor_player_choice.py,100.0%,8.398544788360596
pymoo.algorithms.soo.nonconvex.nelder,4,rock_paper_scissor_player_choice.py,100.0%,7.83552622795105
pymoo.algorithms.soo.nonconvex.nelder,5,rock_paper_scissor_player_choice.py,100.0%,9.466488122940063
pymoo.algorithms.soo.nonconvex.nelder,6,rock_paper_scissor_player_choice.py,100.0%,9.043689966201782
pymoo.algorithms.soo.nonconvex.nelder,7,rock_paper_scissor_player_choice.py,100.0%,8.544323921203613
pymoo.algorithms.soo.nonconvex.nelder,8,rock_paper_scissor_player_choice.py,33.33333333333333%,5.137200117111206
pymoo.algorithms.soo.nonconvex.nelder,9,rock_paper_scissor_player_choice.py,100.0%,8.641813039779663
pymoo.algorithms.soo.nonconvex.nelder,10,rock_paper_scissor_player_choice.py,66.66666666666666%,6.100254058837891
pymoo.algorithms.soo.nonconvex.nelder,11,rock_paper_scissor_player_choice.py,100.0%,7.391054153442383
pymoo.algorithms.soo.nonconvex.nelder,12,rock_paper_scissor_player_choice.py,100.0%,7.961532831192017
pymoo.algorithms.soo.nonconvex.nelder,13,rock_paper_scissor_player_choice.py,66.66666666666666%,5.666148662567139
pymoo.algorithms.soo.nonconvex.nelder,14,rock_paper_scissor_player_choice.py,100.0%,8.40470290184021
pymoo.algorithms.soo.nonconvex.nelder,15,rock_paper_scissor_player_choice.py,100.0%,8.6992027759552
pymoo.algorithms.soo.nonconvex.nelder,16,rock_paper_scissor_player_choice.py,100.0%,8.326632976531982
pymoo.algorithms.soo.nonconvex.nelder,17,rock_paper_scissor_player_choice.py,100.0%,8.712681770324707
pymoo.algorithms.soo.nonconvex.nelder,18,rock_paper_scissor_player_choice.py,100.0%,8.639981031417847
pymoo.algorithms.soo.nonconvex.nelder,19,rock_paper_scissor_player_choice.py,100.0%,6.972907066345215
pymoo.algorithms.soo.nonconvex.nelder,20,rock_paper_scissor_player_choice.py,100.0%,7.482358932495117
pymoo.algorithms.soo.nonconvex.nelder,21,rock_paper_scissor_player_choice.py,100.0%,7.011171102523804
pymoo.algorithms.soo.nonconvex.nelder,22,rock_paper_scissor_player_choice.py,100.0%,7.588402986526489
pymoo.algorithms.soo.nonconvex.nelder,23,rock_paper_scissor_player_choice.py,66.66666666666666%,5.379893064498901
pymoo.algorithms.soo.nonconvex.nelder,24,rock_paper_scissor_player_choice.py,100.0%,7.11232590675354
pymoo.algorithms.soo.nonconvex.nelder,25,rock_paper_scissor_player_choice.py,100.0%,7.262379884719849
pymoo.algorithms.soo.nonconvex.nelder,26,rock_paper_scissor_player_choice.py,100.0%,7.220953702926636
pymoo.algorithms.soo.nonconvex.nelder,27,rock_paper_scissor_player_choice.py,100.0%,7.180523872375488
pymoo.algorithms.soo.nonconvex.nelder,28,rock_paper_scissor_player_choice.py,100.0%,7.277483940124512
pymoo.algorithms.soo.nonconvex.nelder,29,rock_paper_scissor_player_choice.py,100.0%,7.27536416053772
pymoo.algorithms.soo.nonconvex.nelder,30,rock_paper_scissor_player_choice.py,100.0%,7.432214021682739
