Algorithm,Iteration,Code Tested,Coverage,Execution Time
pymoo.algorithms.soo.nonconvex.sres,1,rock_paper_scissor_player_choice.py,100.0%,379.7847888469696
pymoo.algorithms.soo.nonconvex.sres,2,rock_paper_scissor_player_choice.py,100.0%,376.1756737232208
pymoo.algorithms.soo.nonconvex.sres,3,rock_paper_scissor_player_choice.py,100.0%,381.1459159851074
pymoo.algorithms.soo.nonconvex.sres,4,rock_paper_scissor_player_choice.py,100.0%,377.6345992088318
pymoo.algorithms.soo.nonconvex.sres,5,rock_paper_scissor_player_choice.py,100.0%,339.63360810279846
pymoo.algorithms.soo.nonconvex.sres,6,rock_paper_scissor_player_choice.py,100.0%,335.0945372581482
pymoo.algorithms.soo.nonconvex.sres,7,rock_paper_scissor_player_choice.py,100.0%,336.2685613632202
pymoo.algorithms.soo.nonconvex.sres,8,rock_paper_scissor_player_choice.py,100.0%,338.5990340709686
pymoo.algorithms.soo.nonconvex.sres,9,rock_paper_scissor_player_choice.py,100.0%,330.42774081230164
pymoo.algorithms.soo.nonconvex.sres,10,rock_paper_scissor_player_choice.py,100.0%,332.92298769950867
pymoo.algorithms.soo.nonconvex.sres,11,rock_paper_scissor_player_choice.py,100.0%,331.9435670375824
pymoo.algorithms.soo.nonconvex.sres,12,rock_paper_scissor_player_choice.py,100.0%,328.68093395233154
pymoo.algorithms.soo.nonconvex.sres,13,rock_paper_scissor_player_choice.py,100.0%,331.2276668548584
pymoo.algorithms.soo.nonconvex.sres,14,rock_paper_scissor_player_choice.py,100.0%,323.4657371044159
pymoo.algorithms.soo.nonconvex.sres,15,rock_paper_scissor_player_choice.py,100.0%,312.99970984458923
pymoo.algorithms.soo.nonconvex.sres,16,rock_paper_scissor_player_choice.py,100.0%,313.66914892196655
pymoo.algorithms.soo.nonconvex.sres,17,rock_paper_scissor_player_choice.py,100.0%,311.91192388534546
pymoo.algorithms.soo.nonconvex.sres,18,rock_paper_scissor_player_choice.py,100.0%,317.58017802238464
pymoo.algorithms.soo.nonconvex.sres,19,rock_paper_scissor_player_choice.py,100.0%,312.28785467147827
pymoo.algorithms.soo.nonconvex.sres,20,rock_paper_scissor_player_choice.py,100.0%,314.90640091896057
pymoo.algorithms.soo.nonconvex.sres,21,rock_paper_scissor_player_choice.py,100.0%,311.44468879699707
pymoo.algorithms.soo.nonconvex.sres,22,rock_paper_scissor_player_choice.py,100.0%,316.0268716812134
pymoo.algorithms.soo.nonconvex.sres,23,rock_paper_scissor_player_choice.py,100.0%,311.7195053100586
pymoo.algorithms.soo.nonconvex.sres,24,rock_paper_scissor_player_choice.py,100.0%,281.76698207855225
pymoo.algorithms.soo.nonconvex.sres,25,rock_paper_scissor_player_choice.py,100.0%,274.43907833099365
pymoo.algorithms.soo.nonconvex.sres,26,rock_paper_scissor_player_choice.py,100.0%,271.1970250606537
pymoo.algorithms.soo.nonconvex.sres,27,rock_paper_scissor_player_choice.py,100.0%,270.7169179916382
pymoo.algorithms.soo.nonconvex.sres,28,rock_paper_scissor_player_choice.py,100.0%,270.37424087524414
pymoo.algorithms.soo.nonconvex.sres,29,rock_paper_scissor_player_choice.py,100.0%,269.21194291114807
pymoo.algorithms.soo.nonconvex.sres,30,rock_paper_scissor_player_choice.py,100.0%,271.0483148097992
