Algorithm,Iteration,Code Tested,Coverage,Execution Time
pymoo.algorithms.soo.nonconvex.pattern,1,three_number_sort.py,100.0%,8.660993099212646
pymoo.algorithms.soo.nonconvex.pattern,2,three_number_sort.py,100.0%,8.557049989700317
pymoo.algorithms.soo.nonconvex.pattern,3,three_number_sort.py,100.0%,7.4759838581085205
pymoo.algorithms.soo.nonconvex.pattern,4,three_number_sort.py,100.0%,8.741017818450928
pymoo.algorithms.soo.nonconvex.pattern,5,three_number_sort.py,100.0%,8.72296404838562
pymoo.algorithms.soo.nonconvex.pattern,6,three_number_sort.py,100.0%,8.776295185089111
pymoo.algorithms.soo.nonconvex.pattern,7,three_number_sort.py,100.0%,8.80349588394165
pymoo.algorithms.soo.nonconvex.pattern,8,three_number_sort.py,100.0%,8.070074081420898
pymoo.algorithms.soo.nonconvex.pattern,9,three_number_sort.py,100.0%,8.442258834838867
pymoo.algorithms.soo.nonconvex.pattern,10,three_number_sort.py,100.0%,8.34430980682373
pymoo.algorithms.soo.nonconvex.pattern,11,three_number_sort.py,100.0%,9.211939811706543
pymoo.algorithms.soo.nonconvex.pattern,12,three_number_sort.py,100.0%,8.015849113464355
pymoo.algorithms.soo.nonconvex.pattern,13,three_number_sort.py,100.0%,8.167524099349976
pymoo.algorithms.soo.nonconvex.pattern,14,three_number_sort.py,100.0%,8.023432970046997
pymoo.algorithms.soo.nonconvex.pattern,15,three_number_sort.py,100.0%,7.309089183807373
pymoo.algorithms.soo.nonconvex.pattern,16,three_number_sort.py,100.0%,8.247555017471313
pymoo.algorithms.soo.nonconvex.pattern,17,three_number_sort.py,100.0%,8.639991998672485
pymoo.algorithms.soo.nonconvex.pattern,18,three_number_sort.py,100.0%,8.419480085372925
pymoo.algorithms.soo.nonconvex.pattern,19,three_number_sort.py,100.0%,9.358237028121948
pymoo.algorithms.soo.nonconvex.pattern,20,three_number_sort.py,100.0%,8.570966005325317
pymoo.algorithms.soo.nonconvex.pattern,21,three_number_sort.py,100.0%,8.304379224777222
pymoo.algorithms.soo.nonconvex.pattern,22,three_number_sort.py,100.0%,7.880660057067871
pymoo.algorithms.soo.nonconvex.pattern,23,three_number_sort.py,100.0%,8.261295795440674
pymoo.algorithms.soo.nonconvex.pattern,24,three_number_sort.py,100.0%,8.187312126159668
pymoo.algorithms.soo.nonconvex.pattern,25,three_number_sort.py,100.0%,7.9074931144714355
pymoo.algorithms.soo.nonconvex.pattern,26,three_number_sort.py,100.0%,8.533640146255493
pymoo.algorithms.soo.nonconvex.pattern,27,three_number_sort.py,100.0%,8.501325845718384
pymoo.algorithms.soo.nonconvex.pattern,28,three_number_sort.py,100.0%,8.615073680877686
pymoo.algorithms.soo.nonconvex.pattern,29,three_number_sort.py,100.0%,8.22654104232788
pymoo.algorithms.soo.nonconvex.pattern,30,three_number_sort.py,100.0%,8.094866037368774
