Algorithm,Iteration,Code Tested,Coverage,Execution Time
pymoo.algorithms.soo.nonconvex.de,1,trig_area.py,30.0%,195.13082122802734
pymoo.algorithms.soo.nonconvex.de,2,trig_area.py,30.0%,194.46495509147644
pymoo.algorithms.soo.nonconvex.de,3,trig_area.py,30.0%,198.20470690727234
pymoo.algorithms.soo.nonconvex.de,4,trig_area.py,30.0%,194.77324318885803
pymoo.algorithms.soo.nonconvex.de,5,trig_area.py,30.0%,197.23646783828735
pymoo.algorithms.soo.nonconvex.de,6,trig_area.py,30.0%,198.45330715179443
pymoo.algorithms.soo.nonconvex.de,7,trig_area.py,30.0%,195.00892329216003
pymoo.algorithms.soo.nonconvex.de,8,trig_area.py,30.0%,196.05564713478088
pymoo.algorithms.soo.nonconvex.de,9,trig_area.py,30.0%,197.3081178665161
pymoo.algorithms.soo.nonconvex.de,10,trig_area.py,30.0%,197.07430696487427
pymoo.algorithms.soo.nonconvex.de,11,trig_area.py,30.0%,194.5135850906372
pymoo.algorithms.soo.nonconvex.de,12,trig_area.py,30.0%,195.93402099609375
pymoo.algorithms.soo.nonconvex.de,13,trig_area.py,30.0%,197.95542192459106
pymoo.algorithms.soo.nonconvex.de,14,trig_area.py,30.0%,196.35515999794006
pymoo.algorithms.soo.nonconvex.de,15,trig_area.py,30.0%,195.24258184432983
pymoo.algorithms.soo.nonconvex.de,16,trig_area.py,30.0%,196.16052079200745
pymoo.algorithms.soo.nonconvex.de,17,trig_area.py,30.0%,195.31498098373413
pymoo.algorithms.soo.nonconvex.de,18,trig_area.py,30.0%,197.15895295143127
pymoo.algorithms.soo.nonconvex.de,19,trig_area.py,30.0%,200.1550648212433
pymoo.algorithms.soo.nonconvex.de,20,trig_area.py,30.0%,195.97387599945068
pymoo.algorithms.soo.nonconvex.de,21,trig_area.py,30.0%,198.5063078403473
pymoo.algorithms.soo.nonconvex.de,22,trig_area.py,30.0%,194.7676649093628
pymoo.algorithms.soo.nonconvex.de,23,trig_area.py,30.0%,193.24344086647034
pymoo.algorithms.soo.nonconvex.de,24,trig_area.py,30.0%,197.39534306526184
pymoo.algorithms.soo.nonconvex.de,25,trig_area.py,30.0%,196.02283000946045
pymoo.algorithms.soo.nonconvex.de,26,trig_area.py,30.0%,195.76838302612305
pymoo.algorithms.soo.nonconvex.de,27,trig_area.py,30.0%,188.09879565238953
pymoo.algorithms.soo.nonconvex.de,28,trig_area.py,30.0%,158.81204771995544
pymoo.algorithms.soo.nonconvex.de,29,trig_area.py,30.0%,156.68305110931396
pymoo.algorithms.soo.nonconvex.de,30,trig_area.py,30.0%,158.6397259235382
