Algorithm,Iteration,Code Tested,Coverage,Execution Time
pymoo.algorithms.soo.nonconvex.ga,1,trig_area.py,70.0%,331.1539957523346
pymoo.algorithms.soo.nonconvex.ga,2,trig_area.py,50.0%,333.39265298843384
pymoo.algorithms.soo.nonconvex.ga,3,trig_area.py,70.0%,334.20511198043823
pymoo.algorithms.soo.nonconvex.ga,4,trig_area.py,70.0%,426.2314579486847
pymoo.algorithms.soo.nonconvex.ga,5,trig_area.py,70.0%,338.82027435302734
pymoo.algorithms.soo.nonconvex.ga,6,trig_area.py,70.0%,334.34297704696655
pymoo.algorithms.soo.nonconvex.ga,7,trig_area.py,50.0%,330.1081531047821
pymoo.algorithms.soo.nonconvex.ga,8,trig_area.py,70.0%,341.13762617111206
pymoo.algorithms.soo.nonconvex.ga,9,trig_area.py,70.0%,340.7634320259094
pymoo.algorithms.soo.nonconvex.ga,10,trig_area.py,70.0%,423.52358508110046
pymoo.algorithms.soo.nonconvex.ga,11,trig_area.py,70.0%,426.02904415130615
pymoo.algorithms.soo.nonconvex.ga,12,trig_area.py,70.0%,332.54765009880066
pymoo.algorithms.soo.nonconvex.ga,13,trig_area.py,70.0%,426.62547397613525
pymoo.algorithms.soo.nonconvex.ga,14,trig_area.py,70.0%,329.70519614219666
pymoo.algorithms.soo.nonconvex.ga,15,trig_area.py,70.0%,438.3281133174896
pymoo.algorithms.soo.nonconvex.ga,16,trig_area.py,70.0%,435.125519990921
pymoo.algorithms.soo.nonconvex.ga,17,trig_area.py,70.0%,445.86949396133423
pymoo.algorithms.soo.nonconvex.ga,18,trig_area.py,50.0%,305.4365909099579
pymoo.algorithms.soo.nonconvex.ga,19,trig_area.py,70.0%,371.63079500198364
pymoo.algorithms.soo.nonconvex.ga,20,trig_area.py,50.0%,300.9634418487549
pymoo.algorithms.soo.nonconvex.ga,21,trig_area.py,70.0%,299.30866408348083
pymoo.algorithms.soo.nonconvex.ga,22,trig_area.py,70.0%,371.3594779968262
pymoo.algorithms.soo.nonconvex.ga,23,trig_area.py,50.0%,293.65258979797363
pymoo.algorithms.soo.nonconvex.ga,24,trig_area.py,70.0%,375.642618894577
pymoo.algorithms.soo.nonconvex.ga,25,trig_area.py,70.0%,377.2481338977814
pymoo.algorithms.soo.nonconvex.ga,26,trig_area.py,70.0%,379.51478600502014
pymoo.algorithms.soo.nonconvex.ga,27,trig_area.py,70.0%,382.54862093925476
pymoo.algorithms.soo.nonconvex.ga,28,trig_area.py,70.0%,374.4323079586029
pymoo.algorithms.soo.nonconvex.ga,29,trig_area.py,70.0%,296.58021306991577
pymoo.algorithms.soo.nonconvex.ga,30,trig_area.py,70.0%,287.4230840206146
