Algorithm,Iteration,Code Tested,Coverage,Execution Time
pymoo.algorithms.soo.nonconvex.isres,1,trig_area.py,70.0%,532.5702660083771
pymoo.algorithms.soo.nonconvex.isres,2,trig_area.py,70.0%,424.3417398929596
pymoo.algorithms.soo.nonconvex.isres,3,trig_area.py,70.0%,533.9151709079742
pymoo.algorithms.soo.nonconvex.isres,4,trig_area.py,70.0%,529.3492872714996
pymoo.algorithms.soo.nonconvex.isres,5,trig_area.py,70.0%,536.3270828723907
pymoo.algorithms.soo.nonconvex.isres,6,trig_area.py,70.0%,540.752867937088
pymoo.algorithms.soo.nonconvex.isres,7,trig_area.py,70.0%,535.4229459762573
pymoo.algorithms.soo.nonconvex.isres,8,trig_area.py,70.0%,423.81371426582336
pymoo.algorithms.soo.nonconvex.isres,9,trig_area.py,70.0%,531.2322068214417
pymoo.algorithms.soo.nonconvex.isres,10,trig_area.py,70.0%,429.0068128108978
pymoo.algorithms.soo.nonconvex.isres,11,trig_area.py,70.0%,429.40436601638794
pymoo.algorithms.soo.nonconvex.isres,12,trig_area.py,70.0%,531.6940610408783
pymoo.algorithms.soo.nonconvex.isres,13,trig_area.py,70.0%,526.8601648807526
pymoo.algorithms.soo.nonconvex.isres,14,trig_area.py,30.0%,285.1531870365143
pymoo.algorithms.soo.nonconvex.isres,15,trig_area.py,70.0%,523.4410071372986
pymoo.algorithms.soo.nonconvex.isres,16,trig_area.py,70.0%,527.0348961353302
pymoo.algorithms.soo.nonconvex.isres,17,trig_area.py,70.0%,522.2944767475128
pymoo.algorithms.soo.nonconvex.isres,18,trig_area.py,30.0%,298.8152720928192
pymoo.algorithms.soo.nonconvex.isres,19,trig_area.py,30.0%,302.22616696357727
pymoo.algorithms.soo.nonconvex.isres,20,trig_area.py,50.0%,407.84987211227417
pymoo.algorithms.soo.nonconvex.isres,21,trig_area.py,70.0%,520.681777715683
pymoo.algorithms.soo.nonconvex.isres,22,trig_area.py,70.0%,521.8473110198975
pymoo.algorithms.soo.nonconvex.isres,23,trig_area.py,70.0%,511.4331102371216
pymoo.algorithms.soo.nonconvex.isres,24,trig_area.py,70.0%,517.5221679210663
pymoo.algorithms.soo.nonconvex.isres,25,trig_area.py,30.0%,292.2151050567627
pymoo.algorithms.soo.nonconvex.isres,26,trig_area.py,30.0%,301.2305018901825
pymoo.algorithms.soo.nonconvex.isres,27,trig_area.py,30.0%,293.68874979019165
pymoo.algorithms.soo.nonconvex.isres,28,trig_area.py,50.0%,405.6382100582123
pymoo.algorithms.soo.nonconvex.isres,29,trig_area.py,70.0%,521.5137360095978
pymoo.algorithms.soo.nonconvex.isres,30,trig_area.py,70.0%,520.0328524112701
