Algorithm,Iteration,Code Tested,Coverage,Execution Time
pymoo.algorithms.soo.nonconvex.nelder,1,trig_area.py,30.0%,8.230981826782227
pymoo.algorithms.soo.nonconvex.nelder,2,trig_area.py,30.0%,9.118661165237427
pymoo.algorithms.soo.nonconvex.nelder,3,trig_area.py,70.0%,11.383202075958252
pymoo.algorithms.soo.nonconvex.nelder,4,trig_area.py,30.0%,8.547007083892822
pymoo.algorithms.soo.nonconvex.nelder,5,trig_area.py,30.0%,8.289030075073242
pymoo.algorithms.soo.nonconvex.nelder,6,trig_area.py,30.0%,7.360991954803467
pymoo.algorithms.soo.nonconvex.nelder,7,trig_area.py,30.0%,8.04446005821228
pymoo.algorithms.soo.nonconvex.nelder,8,trig_area.py,30.0%,9.17375922203064
pymoo.algorithms.soo.nonconvex.nelder,9,trig_area.py,30.0%,9.186691045761108
pymoo.algorithms.soo.nonconvex.nelder,10,trig_area.py,30.0%,8.42190170288086
pymoo.algorithms.soo.nonconvex.nelder,11,trig_area.py,30.0%,8.000917911529541
pymoo.algorithms.soo.nonconvex.nelder,12,trig_area.py,30.0%,8.150581121444702
pymoo.algorithms.soo.nonconvex.nelder,13,trig_area.py,30.0%,8.376635074615479
pymoo.algorithms.soo.nonconvex.nelder,14,trig_area.py,30.0%,8.140484094619751
pymoo.algorithms.soo.nonconvex.nelder,15,trig_area.py,50.0%,10.392472743988037
pymoo.algorithms.soo.nonconvex.nelder,16,trig_area.py,30.0%,9.131251811981201
pymoo.algorithms.soo.nonconvex.nelder,17,trig_area.py,30.0%,9.230108261108398
pymoo.algorithms.soo.nonconvex.nelder,18,trig_area.py,30.0%,7.799654960632324
pymoo.algorithms.soo.nonconvex.nelder,19,trig_area.py,30.0%,7.875875949859619
pymoo.algorithms.soo.nonconvex.nelder,20,trig_area.py,30.0%,8.334524869918823
pymoo.algorithms.soo.nonconvex.nelder,21,trig_area.py,30.0%,7.818134069442749
pymoo.algorithms.soo.nonconvex.nelder,22,trig_area.py,30.0%,7.939611196517944
pymoo.algorithms.soo.nonconvex.nelder,23,trig_area.py,30.0%,8.260012865066528
pymoo.algorithms.soo.nonconvex.nelder,24,trig_area.py,30.0%,8.8224778175354
pymoo.algorithms.soo.nonconvex.nelder,25,trig_area.py,30.0%,8.35148310661316
pymoo.algorithms.soo.nonconvex.nelder,26,trig_area.py,30.0%,8.677078008651733
pymoo.algorithms.soo.nonconvex.nelder,27,trig_area.py,30.0%,8.641294717788696
pymoo.algorithms.soo.nonconvex.nelder,28,trig_area.py,30.0%,7.887635946273804
pymoo.algorithms.soo.nonconvex.nelder,29,trig_area.py,30.0%,7.721178293228149
pymoo.algorithms.soo.nonconvex.nelder,30,trig_area.py,30.0%,7.962663888931274
