Algorithm,Iteration,Code Tested,Coverage,Execution Time
pymoo.algorithms.soo.nonconvex.pattern,1,trig_area.py,30.0%,12.221817016601562
pymoo.algorithms.soo.nonconvex.pattern,2,trig_area.py,30.0%,12.048111200332642
pymoo.algorithms.soo.nonconvex.pattern,3,trig_area.py,30.0%,10.919684886932373
pymoo.algorithms.soo.nonconvex.pattern,4,trig_area.py,70.0%,15.241482973098755
pymoo.algorithms.soo.nonconvex.pattern,5,trig_area.py,30.0%,11.227527141571045
pymoo.algorithms.soo.nonconvex.pattern,6,trig_area.py,70.0%,16.623957872390747
pymoo.algorithms.soo.nonconvex.pattern,7,trig_area.py,70.0%,16.478081941604614
pymoo.algorithms.soo.nonconvex.pattern,8,trig_area.py,30.0%,10.801099061965942
pymoo.algorithms.soo.nonconvex.pattern,9,trig_area.py,30.0%,10.74682903289795
pymoo.algorithms.soo.nonconvex.pattern,10,trig_area.py,30.0%,10.932574272155762
pymoo.algorithms.soo.nonconvex.pattern,11,trig_area.py,30.0%,11.838305950164795
pymoo.algorithms.soo.nonconvex.pattern,12,trig_area.py,30.0%,11.998748064041138
pymoo.algorithms.soo.nonconvex.pattern,13,trig_area.py,30.0%,10.895628213882446
pymoo.algorithms.soo.nonconvex.pattern,14,trig_area.py,70.0%,14.6368989944458
pymoo.algorithms.soo.nonconvex.pattern,15,trig_area.py,70.0%,16.225947856903076
pymoo.algorithms.soo.nonconvex.pattern,16,trig_area.py,30.0%,11.691210985183716
pymoo.algorithms.soo.nonconvex.pattern,17,trig_area.py,30.0%,12.132851123809814
pymoo.algorithms.soo.nonconvex.pattern,18,trig_area.py,30.0%,10.496736764907837
pymoo.algorithms.soo.nonconvex.pattern,19,trig_area.py,50.0%,14.865248918533325
pymoo.algorithms.soo.nonconvex.pattern,20,trig_area.py,30.0%,10.73074984550476
pymoo.algorithms.soo.nonconvex.pattern,21,trig_area.py,30.0%,10.663726806640625
pymoo.algorithms.soo.nonconvex.pattern,22,trig_area.py,30.0%,10.796992063522339
pymoo.algorithms.soo.nonconvex.pattern,23,trig_area.py,30.0%,11.919535875320435
pymoo.algorithms.soo.nonconvex.pattern,24,trig_area.py,30.0%,12.204496145248413
pymoo.algorithms.soo.nonconvex.pattern,25,trig_area.py,30.0%,10.163532018661499
pymoo.algorithms.soo.nonconvex.pattern,26,trig_area.py,30.0%,10.742888927459717
pymoo.algorithms.soo.nonconvex.pattern,27,trig_area.py,30.0%,11.314834117889404
pymoo.algorithms.soo.nonconvex.pattern,28,trig_area.py,30.0%,11.999654293060303
pymoo.algorithms.soo.nonconvex.pattern,29,trig_area.py,70.0%,15.10650897026062
pymoo.algorithms.soo.nonconvex.pattern,30,trig_area.py,70.0%,15.679760932922363
