Algorithm,Iteration,Code Tested,Coverage,Execution Time
pymoo.algorithms.soo.nonconvex.sres,1,trig_area.py,30.0%,310.9053099155426
pymoo.algorithms.soo.nonconvex.sres,2,trig_area.py,70.0%,447.59687304496765
pymoo.algorithms.soo.nonconvex.sres,3,trig_area.py,30.0%,311.34241104125977
pymoo.algorithms.soo.nonconvex.sres,4,trig_area.py,50.0%,423.96363377571106
pymoo.algorithms.soo.nonconvex.sres,5,trig_area.py,70.0%,429.56516885757446
pymoo.algorithms.soo.nonconvex.sres,6,trig_area.py,30.0%,313.4019899368286
pymoo.algorithms.soo.nonconvex.sres,7,trig_area.py,30.0%,316.25054001808167
pymoo.algorithms.soo.nonconvex.sres,8,trig_area.py,50.0%,427.7025079727173
pymoo.algorithms.soo.nonconvex.sres,9,trig_area.py,30.0%,315.3772621154785
pymoo.algorithms.soo.nonconvex.sres,10,trig_area.py,30.0%,315.8519449234009
pymoo.algorithms.soo.nonconvex.sres,11,trig_area.py,50.0%,419.8769290447235
pymoo.algorithms.soo.nonconvex.sres,12,trig_area.py,30.0%,316.80287504196167
pymoo.algorithms.soo.nonconvex.sres,13,trig_area.py,30.0%,306.5067801475525
pymoo.algorithms.soo.nonconvex.sres,14,trig_area.py,30.0%,314.1412019729614
pymoo.algorithms.soo.nonconvex.sres,15,trig_area.py,70.0%,432.1557729244232
pymoo.algorithms.soo.nonconvex.sres,16,trig_area.py,70.0%,426.8713161945343
pymoo.algorithms.soo.nonconvex.sres,17,trig_area.py,30.0%,312.0842869281769
pymoo.algorithms.soo.nonconvex.sres,18,trig_area.py,30.0%,311.38642978668213
pymoo.algorithms.soo.nonconvex.sres,19,trig_area.py,50.0%,425.7832999229431
pymoo.algorithms.soo.nonconvex.sres,20,trig_area.py,30.0%,309.03803396224976
pymoo.algorithms.soo.nonconvex.sres,21,trig_area.py,30.0%,317.0302309989929
pymoo.algorithms.soo.nonconvex.sres,22,trig_area.py,30.0%,308.3588569164276
pymoo.algorithms.soo.nonconvex.sres,23,trig_area.py,30.0%,317.36002707481384
pymoo.algorithms.soo.nonconvex.sres,24,trig_area.py,30.0%,305.2228090763092
pymoo.algorithms.soo.nonconvex.sres,25,trig_area.py,30.0%,310.44813895225525
pymoo.algorithms.soo.nonconvex.sres,26,trig_area.py,70.0%,431.2795732021332
pymoo.algorithms.soo.nonconvex.sres,27,trig_area.py,30.0%,310.9065361022949
pymoo.algorithms.soo.nonconvex.sres,28,trig_area.py,30.0%,310.2862858772278
pymoo.algorithms.soo.nonconvex.sres,29,trig_area.py,70.0%,435.2615969181061
pymoo.algorithms.soo.nonconvex.sres,30,trig_area.py,70.0%,424.1414408683777
